"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Storefront API","Cart & Checkout","Create Cart","1","0","1","0","0"
"Storefront","Security & Known Bugs","MED_SF_TC_044","0","1","0","0","0"
"Storefront","Cart","MED_PROMO_TC_021","0","1","0","0","0"
"Medusa Admin Authentication","Reset Password Page","SC-AUTH-07 — Reset Password Submit","0","1","0","0","0"
"Storefront","Cart","MED_SF_TC_017","0","1","0","0","0"
"Medusa Admin","Orders Management","SC-ORD-03 — Security","0","0","1","0","0"
"Admin API","Customers","List Customers","6","0","2","0","0"
"Storefront","Checkout Flow","MED_SF_TC_026","0","1","0","0","0"
"Storefront API","Orders","Get Order Detail","2","0","1","0","0"
"Medusa Admin","Orders Management","SC-ORD-05 — Draft Order Happy Path","0","1","0","0","0"
"Storefront API","Orders","List Orders","6","0","0","0","0"
"Storefront","Search","MED_SF_TC_040","0","1","0","0","0"
"Medusa Admin Authentication","Session Management & Logout","SC-AUTH-09 — Session Management","0","1","0","0","0"
"Storefront API","Cart & Checkout","Get Cart","2","0","0","1","0"
"Admin API","Products","List Products","5","0","2","0","0"
"Storefront","Account — Login & Register","MED_SF_TC_038","0","1","0","0","0"
"Medusa Admin Authentication","Session Management & Logout","SC-AUTH-09 — Route Protection","0","0","2","0","0"
"Admin API","Orders","List Orders","5","0","2","0","0"
"Storefront","Security & Known Bugs","MED_SF_TC_046","0","1","0","0","0"
"Admin API","Orders","Get Order Detail","2","0","1","0","0"
"Storefront","Product Detail & Mini Cart","MED_SF_TC_012","0","1","0","0","0"
"Medusa Admin Authentication","Reset Password Page","SC-AUTH-07 — Reset Password Navigation","0","0","2","0","0"
"Medusa Admin Authentication","Session Management & Logout","SC-AUTH-10 — Logout","0","2","0","0","0"
"Storefront","Account — Login & Register","MED_SF_TC_035","0","1","0","0","0"
"Storefront","Checkout Flow","MED_SF_TC_032","0","1","0","0","0"
"Storefront","Product Detail & Mini Cart","MED_SF_TC_007","0","1","0","0","0"
"Storefront","Homepage & Navigation","MED_SF_TC_002","0","2","0","0","0"
"Medusa Admin Authentication","Login Page","SC-AUTH-02 — Happy path Login","0","1","0","0","0"
"Storefront","Store — Product Listing","MED_SF_TC_005","0","2","0","0","0"
