"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 20 15:11:39 UTC 2026","Thu Aug 20 15:11:39 UTC 2026","267","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_001_registerToken_validData_returns200WithToken","TC_API_AUTH_001_registerToken_validData_returns200WithToken","TC_API_AUTH_001 — Lấy registration token thành công với email và password hợp lệ"
"broken","Thu Aug 20 15:14:08 UTC 2026","Thu Aug 20 15:14:08 UTC 2026","1","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontCheckoutTest","com.medusa.automation.tests.StoreFrontCheckoutTest","testCheckoutStep1EmptyFieldsValidation","testCheckoutStep1EmptyFieldsValidation","Submit Bước 1 với fields rỗng → HTML5 validation ngăn chặn submit"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","0","Medusa API Test Suite","Admin API — Products","com.medusa.automation.tests.api.admin.AdminProductApiTest","com.medusa.automation.tests.api.admin.AdminProductApiTest","TC_API_ADMIN_PROD_009_listProducts_responseTime_withinSLA","TC_API_ADMIN_PROD_009_listProducts_responseTime_withinSLA","TC_API_ADMIN_PROD_009 — Response time của admin product list < 5000ms (SLA)"
"broken","Thu Aug 20 15:13:55 UTC 2026","Thu Aug 20 15:13:55 UTC 2026","0","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontHomeTest","com.medusa.automation.tests.StoreFrontHomeTest","testHomepageHeaderIsDisplayed","testHomepageHeaderIsDisplayed","Cấu trúc trang chủ /gb hiển thị đầy đủ Header, Hero section và Footer"
"passed","Thu Aug 20 15:11:39 UTC 2026","Thu Aug 20 15:11:39 UTC 2026","227","Medusa API Test Suite","Storefront API — Authentication","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","com.medusa.automation.tests.api.storefront.StorefrontAuthApiTest","TC_API_AUTH_002_registerToken_duplicateEmail_verifyBehavior","TC_API_AUTH_002_registerToken_duplicateEmail_verifyBehavior","TC_API_AUTH_002 — Register với email đã tồn tại → Medusa re-issues token (200) — đây là actual behavior"
"failed","Thu Aug 20 15:11:43 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","1","Medusa API Test Suite","Admin API — Customers","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","com.medusa.automation.tests.api.admin.AdminCustomerApiTest","TC_API_ADMIN_CUS_001_listCustomers_adminAuth_returns200WithArray","TC_API_ADMIN_CUS_001_listCustomers_adminAuth_returns200WithArray","TC_API_ADMIN_CUS_001 — Admin list tất cả customers → 200 + customers array + pagination metadata"
"broken","Thu Aug 20 15:14:01 UTC 2026","Thu Aug 20 15:14:01 UTC 2026","4","StoreFront Test Suite","SF Regression Tests","com.medusa.automation.tests.StoreFrontProductTest","com.medusa.automation.tests.StoreFrontProductTest","testBreadcrumbNavigationToStore","testBreadcrumbNavigationToStore","Breadcrumb hiển thị và link Store dẫn về trang Store"
"broken","Thu Aug 20 15:12:04 UTC 2026","Thu Aug 20 15:12:06 UTC 2026","1385","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.LoginTest","com.medusa.automation.tests.LoginTest","tc003_loginSuccessWithValidCredentials","tc003_loginSuccessWithValidCredentials","MED_AUTH_TC_003: Đăng nhập với credentials hợp lệ → redirect đến /app/orders, sidebar hiển thị"
"passed","Thu Aug 20 15:11:42 UTC 2026","Thu Aug 20 15:11:43 UTC 2026","116","Medusa API Test Suite","Admin API — Orders","com.medusa.automation.tests.api.admin.AdminOrderApiTest","com.medusa.automation.tests.api.admin.AdminOrderApiTest","TC_API_ADMIN_ORDER_003_listOrders_invalidToken_returns401","TC_API_ADMIN_ORDER_003_listOrders_invalidToken_returns401","TC_API_ADMIN_ORDER_003 — List orders với token invalid → 401 Unauthorized"
"broken","Thu Aug 20 15:13:22 UTC 2026","Thu Aug 20 15:13:23 UTC 2026","882","Medusa Admin Auth Suite","Regression Tests","com.medusa.automation.tests.AdminOrderTest","com.medusa.automation.tests.AdminOrderTest","testPrevButtonDisabledOnFirstPage","testPrevButtonDisabledOnFirstPage","MED_ORD_TC_062: Ở trang 1 danh sách Orders → nút Prev phải bị disabled"
